"5000203";"AGUA CLARA";"";"MS"
"5000252";"ALCINOPOLIS";"";"MS"
"5000609";"AMAMBAI";"";"MS"
"5000708";"ANASTACIO";"";"MS"
"5000807";"ANAURILANDIA";"";"MS"
"5000856";"ANGELICA";"";"MS"
"5000906";"ANTONIO JOAO";"";"MS"
"5001003";"APARECIDA DO TABOADO";"";"MS"
"5001102";"AQUIDAUANA";"";"MS"
"5001243";"ARAL MOREIRA";"";"MS"
"5001508";"BANDEIRANTES";"";"MS"
"5001904";"BATAGUASSU";"";"MS"
"5002001";"BATAIPORA";"";"MS"
"5002100";"BELA VISTA";"";"MS"
"5002159";"BODOQUENA";"";"MS"
"5002209";"BONITO";"";"MS"
"5002308";"BRASILANDIA";"";"MS"
"5002407";"CAARAPO";"";"MS"
"5002605";"CAMAPUA";"";"MS"
"5002704";"CAMPO GRANDE";"";"MS"
"5002803";"CARACOL";"";"MS"
"5002902";"CASSILANDIA";"";"MS"
"5002951";"CHAPADAO DO SUL";"";"MS"
"5003108";"CORGUINHO";"";"MS"
"5003157";"CORONEL SAPUCAIA";"";"MS"
"5003207";"CORUMBA";"";"MS"
"5003256";"COSTA RICA";"";"MS"
"5003306";"COXIM";"";"MS"
"5003454";"DEODAPOLIS";"";"MS"
"5003488";"DOIS IRMAOS DO BURITI";"";"MS"
"5003504";"DOURADINA";"";"MS"
"5003702";"DOURADOS";"";"MS"
"5003751";"ELDORADO";"";"MS"
"5003801";"FATIMA DO SUL";"";"MS"
"5003900";"FIGUEIRAO";"";"MS"
"5004007";"GLORIA DE DOURADOS";"";"MS"
"5004106";"GUIA LOPES DA LAGUNA";"";"MS"
"5004304";"IGUATEMI";"";"MS"
"5004403";"INOCENCIA";"";"MS"
"5004502";"ITAPORA";"";"MS"
"5004601";"ITAQUIRAI";"";"MS"
"5004700";"IVINHEMA";"";"MS"
"5004809";"JAPORA";"";"MS"
"5004908";"JARAGUARI";"";"MS"
"5005004";"JARDIM";"";"MS"
"5005103";"JATEI";"";"MS"
"5005152";"JUTI";"";"MS"
"5005202";"LADARIO";"";"MS"
"5005251";"LAGUNA CARAPA";"";"MS"
"5005400";"MARACAJU";"";"MS"
"5005608";"MIRANDA";"";"MS"
"5005681";"MUNDO NOVO";"";"MS"
"5005707";"NAVIRAI";"";"MS"
"5005806";"NIOAQUE";"";"MS"
"5006002";"NOVA ALVORADA DO SUL";"";"MS"
"5006200";"NOVA ANDRADINA";"";"MS"
"5006259";"NOVO HORIZONTE DO SUL";"";"MS"
"5006309";"PARANAIBA";"";"MS"
"5006358";"PARANHOS";"";"MS"
"5006408";"PEDRO GOMES";"";"MS"
"5006606";"PONTA PORA";"";"MS"
"5006903";"PORTO MURTINHO";"";"MS"
"5007109";"RIBAS DO RIO PARDO";"";"MS"
"5007208";"RIO BRILHANTE";"";"MS"
"5007307";"RIO NEGRO";"";"MS"
"5007406";"RIO VERDE DE MATO GROSSO";"";"MS"
"5007505";"ROCHEDO";"";"MS"
"5007554";"SANTA RITA DO PARDO";"";"MS"
"5007695";"SAO GABRIEL DO OESTE";"";"MS"
"5007703";"SETE QUEDAS";"";"MS"
"5007802";"SELVIRIA";"";"MS"
"5007901";"SIDROLANDIA";"";"MS"
"5007935";"SONORA";"";"MS"
"5007950";"TACURU";"";"MS"
"5007976";"TAQUARUSSU";"";"MS"
"5008008";"TERENOS";"";"MS"
"5008305";"TRES LAGOAS";"";"MS"
"5008404";"VICENTINA";"";"MS"
